Cholera,A00-Cholera
Cholera‚ původce: Vibrio cholerae 01‚ biotyp cholerae,A00.0-Cholera‚ původce: Vibrio cholerae 01‚ bi
Cholera‚ původce: Vibrio cholerae 01‚ biotyp el Tor,A00.1-Cholera‚ původce: Vibrio cholerae 01‚ bi
Cholera NS,A00.9-Cholera NS
Břišní tyfus a paratyfus,A01-Břišní tyfus a paratyfus
Břišní tyfus,A01.0-Břišní tyfus
Paratyfus A,A01.1-Paratyfus A
Paratyfus B,A01.2-Paratyfus B
Paratyfus C,A01.3-Paratyfus C
Paratyfus NS,A01.4-Paratyfus NS
Jiné infekce způsobené salmonelami,A02-Jiné infekce způsobené salmonelami
Salmonelová enteritis,A02.0-Salmonelová enteritis
Salmonelová sepse,A02.1-Salmonelová sepse
Salmonelové infekce lokalizované,A02.2-Salmonelové infekce lokalizované
Jiné určené infekce salmonelami,A02.8-Jiné určené infekce salmonelami
Infekce salmonelami NS,A02.9-Infekce salmonelami NS
Shigelóza,A03-Shigelóza
Shigelóza‚ původce: Shigella dysenteriae,A03.0-Shigelóza‚ původce: Shigella dysenteriae
Shigelóza‚ původce: Shigella flexneri,A03.1-Shigelóza‚ původce: Shigella flexneri
Shigelóza‚ původce: Shigella boydii,A03.2-Shigelóza‚ původce: Shigella boydii
Shigelóza‚ původce: Shigella sonnei,A03.3-Shigelóza‚ původce: Shigella sonnei
Shigelóza jiná,A03.8-Shigelóza jiná
Shigelóza NS,A03.9-Shigelóza NS
Jiné bakteriální střevní infekce,A04-Jiné bakteriální střevní infekce
Enteropatogenní infekce‚ původce: Escherichia coli,A04.0-Enteropatogenní infekce‚ původce: Escher
Enterotoxikogenní infekce‚ původce: Escherichia coli,A04.1-Enterotoxikogenní infekce‚ původce: Esch
Enteroinvazivní infekce‚ původce: Escherichia coli,A04.2-Enteroinvazivní infekce‚ původce: Escher
Enterohemoragické infekce‚ původce: Escherichia coli,A04.3-Enterohemoragické infekce‚ původce: Esch
Jiné střevní infekce‚ původce: Escherichia coli,A04.4-Jiné střevní infekce‚ původce: Escherich
Enteritida‚ původce: Campylobacter,A04.5-Enteritida‚ původce: Campylobacter
Enteritida‚ původce: Yersinia enterocolitica,A04.6-Enteritida‚ původce: Yersinia enterocoli
Enterokolitida‚ původce: Clostridium difficile,A04.7-Enterokolitida‚ původce: Clostridium dif
Jiná určená bakteriální střevní infekce,A04.8-Jiná určená bakteriální střevní infekce
Bakteriální střevní infekce NS,A04.9-Bakteriální střevní infekce NS
"Jiné bakteriální intoxikace – otravy, přenesené potravou",A05-Jiné bakteriální intoxikace – otravy, př
Stafylokoková intoxikace přenesená potravou,A05.0-Stafylokoková intoxikace přenesená potra
Botulismus,A05.1-Botulismus
Intoxikace přenesená potravou‚ původce: Clostridium perfingens [Clostridium welchii],A05.2-Intoxikace přenesená potravou‚ původce: 
Intoxikace přenesená potravou‚ původce: Vibrio paraheamolyticus,A05.3-Intoxikace přenesená potravou‚ původce: 
Intoxikace přenesená potravou‚ původce: Bacillus cereus,A05.4-Intoxikace přenesená potravou‚ původce: 
Jiné specifikované bakteriální intoxikace přenesené potravinami,A05.8-Jiné specifikované bakteriální intoxikac
Bakteriální intoxikace přenesená potravou NS,A05.9-Bakteriální intoxikace přenesená potravo
Amébóza,A06-Amébóza
Akutní amébová dysenterie,A06.0-Akutní amébová dysenterie
Chronická střevní amébóza,A06.1-Chronická střevní amébóza
Amébová nedysenterická kolitida,A06.2-Amébová nedysenterická kolitida
Střevní amébóm,A06.3-Střevní amébóm
Amébový jaterní absces (K77*),A06.4-Amébový jaterní absces (K77*)
Amébový plicní absces,A06.5-Amébový plicní absces
Amébový mozkový absces (G07*),A06.6-Amébový mozkový absces (G07*)
Kožní amébóza,A06.7-Kožní amébóza
Amébová infekce jiných lokalizací,A06.8-Amébová infekce jiných lokalizací
Amébóza NS,A06.9-Amébóza NS
Jiné protozoární střevní nemoci,A07-Jiné protozoární střevní nemoci
Balantidióza,A07.0-Balantidióza
Giardiósa (lamblióza),A07.1-Giardiósa (lamblióza)
Kryptosporidióza,A07.2-Kryptosporidióza
Izosporóza,A07.3-Izosporóza
Jiné určené protozoární střevní nemoci,A07.8-Jiné určené protozoární střevní nemoci
Střevní nemoci způsobené prvoky NS,A07.9-Střevní nemoci způsobené prvoky NS
Střevní infekce viry a jinými určenými mikroorganismy,A08-Střevní infekce viry a jinými určenými m
Rotavirová enteritida,A08.0-Rotavirová enteritida
Akutní gastroenteropatie v důsledku noroviru,A08.1-Akutní gastroenteropatie v důsledku noro
Adenovirová enteritida,A08.2-Adenovirová enteritida
Jiná virová enteritida,A08.3-Jiná virová enteritida
Virové střevní infekce NS,A08.4-Virové střevní infekce NS
Jiné určené střevní infekce,A08.5-Jiné určené střevní infekce
Jiná gastroenteritida a kolitida infekčního a NS původu,A09-Jiná gastroenteritida a kolitida infekčn
Jiná a nespecifikovaná gastroenteritida a kolitida infekčního původu,A09.0-Jiná a nespecifikovaná gastroenteritida 
Gastroenteritida a kolitida neurčeného původu,A09.9-Gastroenteritida a kolitida neurčeného p
"Tuberkulóza dýchacího ústrojí, bakteriologicky a histologicky ověřená",A15-Tuberkulóza dýchacího ústrojí, bakteriol
"Tuberkulóza plic‚ ověřená ve sputu mikroskopicky – včetně ověření kultivací, případně bez kultivace",A15.0-Tuberkulóza plic‚ ověřená ve sputu mikro
Tuberkulóza plic‚ ověřená pouze kultivací,A15.1-Tuberkulóza plic‚ ověřená pouze kultivac
Tuberkulóza plic‚ ověřená histologicky,A15.2-Tuberkulóza plic‚ ověřená histologicky
Tuberkulóza plic‚ ověřená nespecifikovanou metodou,A15.3-Tuberkulóza plic‚ ověřená nespecifikovan
Tuberkulóza nitrohrudních uzlin‚ bakteriologicky a histologicky ověřená,A15.4-Tuberkulóza nitrohrudních uzlin‚ bakteri
Tuberkulóza hrtanu‚ průdušnice a bronchu‚ bakteriologicky a histologicky ověřená,A15.5-Tuberkulóza hrtanu‚ průdušnice a bronchu
Tuberkulózní pleuritida‚ bakteriologicky a histologicky ověřená,A15.6-Tuberkulózní pleuritida‚ bakteriologicky
Primární tuberkulóza dýchacího ústrojí bakteriologicky a histologicky ověřená,A15.7-Primární tuberkulóza dýchacího ústrojí b
Tuberkulóza jiných částí dýchacího ústrojí‚ bakteriologicky a histologicky ověřená,A15.8-Tuberkulóza jiných částí dýchacího ústro
Tuberkulóza dýchacího ústrojí NS‚ bakteriologicky a histologicky ověřená,A15.9-Tuberkulóza dýchacího ústrojí NS‚ bakter
Tuberkulóza dýchacího ústrojí‚ bakteriologicky a histologicky neověřená,A16-Tuberkulóza dýchacího ústrojí‚ bakteriol
Tuberkulóza plic‚ bakteriologicky a histologicky negativní,A16.0-Tuberkulóza plic‚ bakteriologicky a hist
Tuberkulóza plic‚ bakteriologické a histologické vyšetření nebylo prováděno,A16.1-Tuberkulóza plic‚ bakteriologické a hist
Tuberkulóza plic‚ bez zmínky o bakteriologickém nebo histologickém ověření,A16.2-Tuberkulóza plic‚ bez zmínky o bakteriol
Tuberkulóza nitrohrudních mízních uzlin‚ bez zmínky o bakteriologickém nebo histologickém ověření,A16.3-Tuberkulóza nitrohrudních mízních uzlin‚
Tuberkulóza hrtanu‚ průdušnice a bronchu‚ bez uvedení bakteriologického nebo histologického ověření,A16.4-Tuberkulóza hrtanu‚ průdušnice a bronchu
Tuberkulózní pleuritida‚ bez zmínky o bakteriologickém nebo histologickém ověření,A16.5-Tuberkulózní pleuritida‚ bez zmínky o ba
"Primární tuberkulóza dýchacího ústrojí, bez zmínky o bakteriologickém nebo histologickém ověření",A16.7-Primární tuberkulóza dýchacího ústrojí, 
Tuberkulóza jiných částí dýchacího ústrojí‚ bez zmínky o bakteriologickém nebo histologickém ověření,A16.8-Tuberkulóza jiných částí dýchacího ústro
Tuberkulóza dýchacího ústrojí NS‚ bez zmínky o bakteriologickém nebo histologickém ověření,A16.9-Tuberkulóza dýchacího ústrojí NS‚ bez zm
Tuberkulóza nervové soustavy,A17-Tuberkulóza nervové soustavy
Tuberkulózní meningitida – meningitis tuberculosa (G01*),A17.0-Tuberkulózní meningitida – meningitis tu
Meningeální tuberkulom (G07*),A17.1-Meningeální tuberkulom (G07*)
Jiná tuberkulóza nervové soustavy,A17.8-Jiná tuberkulóza nervové soustavy
Tuberkulóza nervové soustavy NS (G99.8*),A17.9-Tuberkulóza nervové soustavy NS (G99.8*)
Tuberkulóza jiných orgánů,A18-Tuberkulóza jiných orgánů
Tuberkulóza kostí a kloubů,A18.0-Tuberkulóza kostí a kloubů
Tuberkulóza močové a pohlavní soustavy,A18.1-Tuberkulóza močové a pohlavní soustavy
Tuberkulóza periferních lymfatických uzlin,A18.2-Tuberkulóza periferních lymfatických uzl
Tuberkulóza střev‚ pobřišnice a mezenterických uzlin,A18.3-Tuberkulóza střev‚ pobřišnice a mezenter
Tuberkulóza kůže a podkožního vaziva,A18.4-Tuberkulóza kůže a podkožního vaziva
Tuberkulóza oka,A18.5-Tuberkulóza oka
Tuberkulóza ucha,A18.6-Tuberkulóza ucha
Tuberkulóza nadledvin (E35.1*),A18.7-Tuberkulóza nadledvin (E35.1*)
Tuberkulóza jiných určených orgánů,A18.8-Tuberkulóza jiných určených orgánů
Miliární tuberkulóza,A19-Miliární tuberkulóza
Akutní miliární tuberkulóza jediného určeného místa,A19.0-Akutní miliární tuberkulóza jediného urč
Akutní miliární tuberkulóza více lokalizací,A19.1-Akutní miliární tuberkulóza více lokaliz
Akutní miliární tuberkulóza NS,A19.2-Akutní miliární tuberkulóza NS
Jiná miliární tuberkulóza,A19.8-Jiná miliární tuberkulóza
Miliární tuberkulóza NS,A19.9-Miliární tuberkulóza NS
Mor,A20-Mor
Bubonický – dýmějový mor,A20.0-Bubonický – dýmějový mor
Celulokutanní mor,A20.1-Celulokutanní mor
Plicní forma moru,A20.2-Plicní forma moru
Morová meningitida,A20.3-Morová meningitida
Septikemická forma moru,A20.7-Septikemická forma moru
Jiné formy moru,A20.8-Jiné formy moru
Mor NS,A20.9-Mor NS
Tularemie,A21-Tularemie
Ulceroglandulární tularemie,A21.0-Ulceroglandulární tularemie
Okuloglandulární tularemie,A21.1-Okuloglandulární tularemie
Plicní forma tularemie,A21.2-Plicní forma tularemie
Viscerální forma tularemie,A21.3-Viscerální forma tularemie
Generalizovaná tularemie,A21.7-Generalizovaná tularemie
Jiné formy tularemie,A21.8-Jiné formy tularemie
Tularemie NS,A21.9-Tularemie NS
Sněť slezinná [anthrax],A22-Sněť slezinná [anthrax]
Kožní antrax,A22.0-Kožní antrax
Plicní antrax,A22.1-Plicní antrax
Gastrointestinální antrax,A22.2-Gastrointestinální antrax
Antraxová sepse,A22.7-Antraxová sepse
Jiné formy antraxu,A22.8-Jiné formy antraxu
Antrax NS,A22.9-Antrax NS
Brucelóza – vlnivá horečka,A23-Brucelóza – vlnivá horečka
Brucelóza‚ původce: Brucella melitensis,A23.0-Brucelóza‚ původce: Brucella melitensis
Brucelóza‚ původce: Brucella abortus,A23.1-Brucelóza‚ původce: Brucella abortus
Brucelóza‚ původce: Brucella suis,A23.2-Brucelóza‚ původce: Brucella suis
Brucelóza‚ původce: Brucella canis,A23.3-Brucelóza‚ původce: Brucella canis
Jiná brucelóza,A23.8-Jiná brucelóza
Brucellosis NS,A23.9-Brucellosis NS
Vozhřivka [malleus] a melioidóza [pseudomalleus],A24-Vozhřivka [malleus] a melioidóza [pseudo
Vozhřivka,A24.0-Vozhřivka
Akutní a prudká melioidóza,A24.1-Akutní a prudká melioidóza
Subakutní nebo chronická melioidóza,A24.2-Subakutní nebo chronická melioidóza
Jiná melioidóza,A24.3-Jiná melioidóza
Melioidóza NS,A24.4-Melioidóza NS
Horečka z krysího kousnuti,A25-Horečka z krysího kousnuti
Spirillosis,A25.0-Spirillosis
Streptobacillosis,A25.1-Streptobacillosis
Horečka z krysího kousnutí NS,A25.9-Horečka z krysího kousnutí NS
Červenka – erysipeloid,A26-Červenka – erysipeloid
Kožní erysipeloid,A26.0-Kožní erysipeloid
Erysipelotrixová sepse,A26.7-Erysipelotrixová sepse
Ostatní formy erysipeloidu,A26.8-Ostatní formy erysipeloidu
Erysipeloid NS,A26.9-Erysipeloid NS
Leptospiróza,A27-Leptospiróza
Leptospirosis icterohaemorrhagica,A27.0-Leptospirosis icterohaemorrhagica
Ostatní formy leptospirózy,A27.8-Ostatní formy leptospirózy
Leptospiróza NS,A27.9-Leptospiróza NS
Další bakteriální zoonózy nezařazené jinde,A28-Další bakteriální zoonózy nezařazené jin
"Pasteurelóza, původce: Pasteurella multocida",A28.0-Pasteurelóza, původce: Pasteurella multo
Nemoc kočičího škrábnutí,A28.1-Nemoc kočičího škrábnutí
Extraintestinální yersinióza,A28.2-Extraintestinální yersinióza
Jiné určené bakteriální zoonózy nezařazené jinde,A28.8-Jiné určené bakteriální zoonózy nezařaze
Zoonotická bakteriální nemoc NS,A28.9-Zoonotická bakteriální nemoc NS
Lepra – malomocenství (Hansenova nemoc),A30-Lepra – malomocenství (Hansenova nemoc)
Lepra indeterminovaná,A30.0-Lepra indeterminovaná
Lepra tuberkuloidní,A30.1-Lepra tuberkuloidní
Lepra hraniční tuberkuloidní,A30.2-Lepra hraniční tuberkuloidní
Lepra hraniční,A30.3-Lepra hraniční
Lepra hraniční lepromatózní,A30.4-Lepra hraniční lepromatózní
Lepra lepromatózní,A30.5-Lepra lepromatózní
Jiné formy lepry,A30.8-Jiné formy lepry
Lepra NS,A30.9-Lepra NS
Nemoci způsobené jinými mykobakteriemi,A31-Nemoci způsobené jinými mykobakteriemi
Plicní mykobakteriální infekce,A31.0-Plicní mykobakteriální infekce
Kožní mykobakteriální infekce,A31.1-Kožní mykobakteriální infekce
Jiné mykobakteriální infekce,A31.8-Jiné mykobakteriální infekce
Mykobakteriální infekce NS,A31.9-Mykobakteriální infekce NS
Listerióza [listeriosis],A32-Listerióza [listeriosis]
Listerióza kožní,A32.0-Listerióza kožní
Listeriová meningitida a meningoencefalitida,A32.1-Listeriová meningitida a meningoencefali
Listeriová sepse,A32.7-Listeriová sepse
Jiné formy listeriózy,A32.8-Jiné formy listeriózy
Listerióza NS,A32.9-Listerióza NS
Tetanus novorozenců,A33-Tetanus novorozenců
Tetanus porodnický,A34-Tetanus porodnický
Tetanus jiný,A35-Tetanus jiný
Záškrt [diphtheria],A36-Záškrt [diphtheria]
Záškrt hltanu,A36.0-Záškrt hltanu
Nosohltanový záškrt,A36.1-Nosohltanový záškrt
Hrtanový záškrt,A36.2-Hrtanový záškrt
Kožní záškrt,A36.3-Kožní záškrt
Jiný záškrt,A36.8-Jiný záškrt
Záškrt NS,A36.9-Záškrt NS
Dávivý kašel [pertussis],A37-Dávivý kašel [pertussis]
Dávivý kašel‚ původce: Bordetella pertussis,A37.0-Dávivý kašel‚ původce: Bordetella pertus
Dávivý kašel‚ původce: Bordetella parapertussis,A37.1-Dávivý kašel‚ původce: Bordetella parape
Dávivý kašel‚ původce: jiný určený druh Bordetelly,A37.8-Dávivý kašel‚ původce: jiný určený druh 
Dávivý kašel NS,A37.9-Dávivý kašel NS
Spála [scarlatina],A38-Spála [scarlatina]
Meningokokové infekce,A39-Meningokokové infekce
Meningokoková meningitida (G01*),A39.0-Meningokoková meningitida (G01*)
