Cholera,A00-Cholera
"Cholera zapríčinená Vibrio cholerae 01, biovar cholerae",A00.0-Cholera zapríčinená Vibrio cholerae 01, 
"Cholera zapríčinená Vibrio cholerae 01, biovar eltor",A00.1-Cholera zapríčinená Vibrio cholerae 01, 
"Cholera, bližšie neurčená",A00.9-Cholera, bližšie neurčená
Brušný týfus a paratýfus,A01-Brušný týfus a paratýfus
Brušný týfus,A01.0-Brušný týfus
Paratýfus A,A01.1-Paratýfus A
Paratýfus B,A01.2-Paratýfus B
Paratýfus C,A01.3-Paratýfus C
"Paratýfus, bližšie neurčený",A01.4-Paratýfus, bližšie neurčený
Iné salmonelové infekcie,A02-Iné salmonelové infekcie
Salmonelová enteritída,A02.0-Salmonelová enteritída
Salmonelová sepsa,A02.1-Salmonelová sepsa
Lokalizovaná salmonelová infekcia,A02.2-Lokalizovaná salmonelová infekcia
"Iná salmonelová infekcia, bližšie určená",A02.8-Iná salmonelová infekcia, bližšie určená
"Salmonelová infekcia, bližšie neurčená",A02.9-Salmonelová infekcia, bližšie neurčená
"Šigelóza [baktériová červienka, dyzentéria]",A03-Šigelóza [baktériová červienka, dyzentér
Šigelóza zapríčinená Shigella dysenteriae,A03.0-Šigelóza zapríčinená Shigella dysenteria
Šigelóza zapríčinená Shigella flexneri,A03.1-Šigelóza zapríčinená Shigella flexneri
Šigelóza zapríčinená Shigella boydii,A03.2-Šigelóza zapríčinená Shigella boydii
Šigelóza zapríčinená Shigella sonnei,A03.3-Šigelóza zapríčinená Shigella sonnei
Iná šigelóza,A03.8-Iná šigelóza
"Šigelóza, bližšie neurčená",A03.9-Šigelóza, bližšie neurčená
Iné baktériové črevné infekcie,A04-Iné baktériové črevné infekcie
Infekcia zapríčinená enteropatogénnou Escherichia coli,A04.0-Infekcia zapríčinená enteropatogénnou Es
Infekcia zapríčinená enterotoxikogénnou Escherichia coli,A04.1-Infekcia zapríčinená enterotoxikogénnou 
Infekcia zapríčinená enteroinvazívnou Escherichia coli,A04.2-Infekcia zapríčinená enteroinvazívnou Es
Infekcia zapríčinená enterohemoragickou Escherichia coli,A04.3-Infekcia zapríčinená enterohemoragickou 
Iné črevné infekcie zapríčinené Escherichia coli,A04.4-Iné črevné infekcie zapríčinené Escheric
Enteritída zapríčinená kampylobakterom,A04.5-Enteritída zapríčinená kampylobakterom
Enteritída zapríčinená Yersinia enterocolitica,A04.6-Enteritída zapríčinená Yersinia enteroco
Enterokolitída zapríčinená Clostridium difficile,A04.7-Enterokolitída zapríčinená Clostridium d
Enteritída zapríčinená Arcobacter spp.,A04.81-Enteritída zapríčinená Arcobacter spp.
"Iná baktériová črevná infekcia, bližšie určená",A04.89-Iná baktériová črevná infekcia, bližšie 
"Baktériová črevná infekcia, bližšie neurčená",A04.9-Baktériová črevná infekcia, bližšie neur
"Iná baktériová potravinová otrava, nezatriedená inde",A05-Iná baktériová potravinová otrava, nezat
Potravinová otrava zapríčinená stafylokokmi,A05.0-Potravinová otrava zapríčinená stafyloko
Botulizmus,A05.1-Botulizmus
Potravinová otrava zapríčinená Clostridium perfringens (Clostridium welchii),A05.2-Potravinová otrava zapríčinená Clostridi
Potravinová otrava zapríčinená Vibrio parahaemolyticus,A05.3-Potravinová otrava zapríčinená Vibrio pa
Potravinová otrava zapríčinená Bacillus cereus,A05.4-Potravinová otrava zapríčinená Bacillus 
Iná bližšie určená baktériová potravinová otrava,A05.8-Iná bližšie určená baktériová potravinov
Bližšie neurčená baktériová potravinová otrava,A05.9-Bližšie neurčená baktériová potravinová 
Amébová červienka - amebóza,A06-Amébová červienka - amebóza
Akútna amébová dyzentéria,A06.0-Akútna amébová dyzentéria
Chronická črevná amebóza,A06.1-Chronická črevná amebóza
Amébová nedyzenterická kolitída,A06.2-Amébová nedyzenterická kolitída
Črevný amebóm,A06.3-Črevný amebóm
Amébový absces pečene,A06.4-Amébový absces pečene
Kožná amebóza,A06.7-Kožná amebóza
Amébová infekcia na iných miestach,A06.8-Amébová infekcia na iných miestach
Bližšie neurčená amebóza,A06.9-Bližšie neurčená amebóza
Iné protozoárne črevné choroby,A07-Iné protozoárne črevné choroby
Balantidióza,A07.0-Balantidióza
Giardióza [lambliáza],A07.1-Giardióza [lambliáza]
Kryptosporidióza,A07.2-Kryptosporidióza
Izosporióza,A07.3-Izosporióza
"Iná protozoárna črevná choroba, bližšie určená",A07.8-Iná protozoárna črevná choroba, bližšie 
"Protozoárna črevná choroba, bližšie neurčená",A07.9-Protozoárna črevná choroba, bližšie neur
"Vírusové a iné, bližšie určené črevné infekcie",A08-Vírusové a iné, bližšie určené črevné in
Rotavírusová enteritída,A08.0-Rotavírusová enteritída
Akútna gastroenteritída zapríčinená norovírusom [Norwalk],A08.1-Akútna gastroenteritída zapríčinená noro
Adenovírusová enteritída,A08.2-Adenovírusová enteritída
Iná vírusová enteritída,A08.3-Iná vírusová enteritída
"Vírusová črevná infekcia, bližšie neurčená",A08.4-Vírusová črevná infekcia, bližšie neurče
"Iné, bližšie určené črevné infekcie",A08.5-Iné, bližšie určené črevné infekcie
Iná gastroenteritída a kolitída infekčného a bližšie neurčeného pôvodu,A09-Iná gastroenteritída a kolitída infekčné
Iná a bližšie neurčená gastroenteritída a kolitída infekčného pôvodu,A09.0-Iná a bližšie neurčená gastroenteritída 
Iná a bližšie neurčená gastroenteritída a kolitída bližšie neurčeného pôvodu,A09.9-Iná a bližšie neurčená gastroenteritída 
"Tuberkulóza dýchacej sústavy bakteriologicky, molekulovobiologicky alebo histologicky potvrdená",A15-Tuberkulóza dýchacej sústavy bakteriolog
"Tuberkulóza pľúc, potvrdená mikroskopickým vyšetrením spúta s dôkazom, alebo bez dôkazu kultivačne alebo molekulovobiologicky",A15.0-Tuberkulóza pľúc, potvrdená mikroskopick
"Tuberkulóza pľúc, potvrdená len kultivačne",A15.1-Tuberkulóza pľúc, potvrdená len kultivač
"Tuberkulóza pľúc, potvrdená histologicky",A15.2-Tuberkulóza pľúc, potvrdená histologicky
"Tuberkulóza pľúc, potvrdená inými a bližšie neurčenými metódami",A15.3-Tuberkulóza pľúc, potvrdená inými a bliž
"Tuberkulóza vnútrohrudníkových lymfatických uzlín, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky",A15.4-Tuberkulóza vnútrohrudníkových lymfatick
"Tuberkulóza hrtana, priedušnice a priedušiek, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky",A15.5-Tuberkulóza hrtana, priedušnice a priedu
"Tuberkulózna pleuritída, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky",A15.6-Tuberkulózna pleuritída, potvrdená bakte
"Primárna tuberkulóza dýchacej sústavy, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky",A15.7-Primárna tuberkulóza dýchacej sústavy, p
"Iná tuberkulóza dýchacej sústavy, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky",A15.8-Iná tuberkulóza dýchacej sústavy, potvrd
"Tuberkulóza dýchacej sústavy, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky, bližšie neurčená",A15.9-Tuberkulóza dýchacej sústavy, potvrdená 
"Tuberkulóza dýchacej sústavy nepotvrdená bakteriologicky, molekulovobiologicky alebo histologicky",A16-Tuberkulóza dýchacej sústavy nepotvrdená
"Tuberkulóza pľúc bakteriologicky, molekulovobiologicky alebo histologicky negatívna",A16.0-Tuberkulóza pľúc bakteriologicky, moleku
"Tuberkulóza pľúc, bez vykonania bakteriologického, molekulovobiologického a histologického vyšetrenia",A16.1-Tuberkulóza pľúc, bez vykonania bakterio
"Tuberkulóza pľúc, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení",A16.2-Tuberkulóza pľúc, bez údaja o bakteriolo
"Tuberkulóza vnútrohrudníkových lymfatických uzlín, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení",A16.3-Tuberkulóza vnútrohrudníkových lymfatick
"Tuberkulóza hrtana, priedušnice a priedušiek bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení",A16.4-Tuberkulóza hrtana, priedušnice a priedu
"Tuberkulózna pleuritída, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení",A16.5-Tuberkulózna pleuritída, bez údaja o bak
Latentná turberkulózna infekcia,A16.6-Latentná turberkulózna infekcia
"Primárna tuberkulóza dýchacej sústavy, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení",A16.7-Primárna tuberkulóza dýchacej sústavy, b
"Iná tuberkulóza dýchacej sústavy, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení",A16.8-Iná tuberkulóza dýchacej sústavy, bez úd
"Tuberkulóza dýchacej sústavy, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení, bližšie neurčená",A16.9-Tuberkulóza dýchacej sústavy, bez údaja 
Tuberkulóza iných orgánov,A18-Tuberkulóza iných orgánov
Tuberkulóza močovopohlavnej sústavy,A18.1-Tuberkulóza močovopohlavnej sústavy
Tuberkulózna periférna lymfadenopatia,A18.2-Tuberkulózna periférna lymfadenopatia
"Tuberkulóza čriev, peritonea a mezentériových lymfatických uzlín",A18.3-Tuberkulóza čriev, peritonea a mezentéri
Tuberkulóza kože a podkožného tkaniva,A18.4-Tuberkulóza kože a podkožného tkaniva
Tuberkulóza oka,A18.5-Tuberkulóza oka
Tuberkulóza ucha,A18.6-Tuberkulóza ucha
Tuberkulóza iných bližšie určených orgánov,A18.8-Tuberkulóza iných bližšie určených orgán
Miliárna tuberkulóza,A19-Miliárna tuberkulóza
Akútna miliárna tuberkulóza na jedinom bližšie určenom mieste,A19.0-Akútna miliárna tuberkulóza na jedinom b
Akútna miliárna tuberkulóza na viacerých miestach,A19.1-Akútna miliárna tuberkulóza na viacerých
"Akútna miliárna tuberkulóza, bližšie neurčená",A19.2-Akútna miliárna tuberkulóza, bližšie neu
Iná miliárna tuberkulóza,A19.8-Iná miliárna tuberkulóza
"Miliárna tuberkulóza, bližšie neurčená",A19.9-Miliárna tuberkulóza, bližšie neurčená
Mor,A20-Mor
Bubonický mor,A20.0-Bubonický mor
Kožná forma moru,A20.1-Kožná forma moru
Pľúcna forma moru,A20.2-Pľúcna forma moru
Morová meningitída,A20.3-Morová meningitída
Septikemická forma moru,A20.7-Septikemická forma moru
Iná forma moru,A20.8-Iná forma moru
Bližšie neurčený mor,A20.9-Bližšie neurčený mor
Tularémia,A21-Tularémia
Ulceroglandulárna tularémia,A21.0-Ulceroglandulárna tularémia
Okuloglandulárna tularémia,A21.1-Okuloglandulárna tularémia
Pľúcna tularémia,A21.2-Pľúcna tularémia
Gastrointestinálna tularémia,A21.3-Gastrointestinálna tularémia
Generalizovaná tularémia,A21.7-Generalizovaná tularémia
Glandulárna tularémia,A21.81-Glandulárna tularémia
Orofaryngeálna tularémia,A21.82-Orofaryngeálna tularémia
Iná forma tularémie,A21.89-Iná forma tularémie
"Tularémia, bližšie neurčená",A21.9-Tularémia, bližšie neurčená
Antrax,A22-Antrax
Kožný antrax,A22.0-Kožný antrax
Pľúcny antrax,A22.1-Pľúcny antrax
Gastrointestinálny antrax,A22.2-Gastrointestinálny antrax
Antraxová sepsa,A22.7-Antraxová sepsa
Iná forma antraxu,A22.8-Iná forma antraxu
Bližšie neurčený antrax,A22.9-Bližšie neurčený antrax
Brucelóza,A23-Brucelóza
Brucelóza zapríčinená Brucella melitensis,A23.0-Brucelóza zapríčinená Brucella melitensi
Brucelóza zapríčinená Brucella abortus,A23.1-Brucelóza zapríčinená Brucella abortus
Brucelóza zapríčinená Brucella suis,A23.2-Brucelóza zapríčinená Brucella suis
Brucelóza zapríčinená Brucella canis,A23.3-Brucelóza zapríčinená Brucella canis
Iná brucelóza,A23.8-Iná brucelóza
"Brucelóza, bližšie neurčená",A23.9-Brucelóza, bližšie neurčená
Sopľavka [malleus] a melioidóza [pseudomalleus],A24-Sopľavka [malleus] a melioidóza [pseudom
Sopľavka,A24.0-Sopľavka
Akútna alebo fulminantná melioidóza,A24.1-Akútna alebo fulminantná melioidóza
Subakútna a chronická melioidóza,A24.2-Subakútna a chronická melioidóza
Iná melioidóza,A24.3-Iná melioidóza
"Melioidóza, bližšie neurčená",A24.4-Melioidóza, bližšie neurčená
Horúčka po uhryznutí potkanom,A25-Horúčka po uhryznutí potkanom
Spirilóza,A25.0-Spirilóza
Streptobacilóza,A25.1-Streptobacilóza
"Horúčka po uhryznutí potkanom, bližšie neurčená",A25.9-Horúčka po uhryznutí potkanom, bližšie n
Eryzipeloid,A26-Eryzipeloid
Kožný eryzipeloid,A26.0-Kožný eryzipeloid
Eryzipelotrixová sepsa,A26.7-Eryzipelotrixová sepsa
Iná forma eryzipeloidu,A26.8-Iná forma eryzipeloidu
