"Cholera due to Vibrio cholerae 01, biovar cholerae",A00
"Cholera due to Vibrio cholerae 01, biovar eltor",A00
"Cholera, unspecified",A00
"Typhoid fever, unspecified",A01
Typhoid meningitis,A01
Typhoid fever with heart involvement,A01
Typhoid pneumonia,A01
Typhoid arthritis,A01
Typhoid osteomyelitis,A01
Typhoid fever with other complications,A01
Paratyphoid fever A,A01
Paratyphoid fever B,A01
Paratyphoid fever C,A01
"Paratyphoid fever, unspecified",A01
Salmonella enteritis,A02
Salmonella sepsis,A02
"Localized salmonella infection, unspecified",A02
Salmonella meningitis,A02
Salmonella pneumonia,A02
Salmonella arthritis,A02
Salmonella osteomyelitis,A02
Salmonella pyelonephritis,A02
Salmonella with other localized infection,A02
Other specified salmonella infections,A02
"Salmonella infection, unspecified",A02
Shigellosis due to Shigella dysenteriae,A03
Shigellosis due to Shigella flexneri,A03
Shigellosis due to Shigella boydii,A03
Shigellosis due to Shigella sonnei,A03
Other shigellosis,A03
"Shigellosis, unspecified",A03
Enteropathogenic Escherichia coli infection,A04
Enterotoxigenic Escherichia coli infection,A04
Enteroinvasive Escherichia coli infection,A04
Enterohemorrhagic Escherichia coli infection,A04
Other intestinal Escherichia coli infections,A04
Campylobacter enteritis,A04
Enteritis due to Yersinia enterocolitica,A04
Enterocolitis due to Clostridium difficile,A04
Other specified bacterial intestinal infections,A04
"Bacterial intestinal infection, unspecified",A04
Foodborne staphylococcal intoxication,A05
Botulism food poisoning,A05
Foodborne Clostridium perfringens [Clostridium welchii] intoxication,A05
Foodborne Vibrio parahaemolyticus intoxication,A05
Foodborne Bacillus cereus intoxication,A05
Foodborne Vibrio vulnificus intoxication,A05
Other specified bacterial foodborne intoxications,A05
"Bacterial foodborne intoxication, unspecified",A05
Acute amebic dysentery,A06
Chronic intestinal amebiasis,A06
Amebic nondysenteric colitis,A06
Ameboma of intestine,A06
Amebic liver abscess,A06
Amebic lung abscess,A06
Amebic brain abscess,A06
Cutaneous amebiasis,A06
Amebic cystitis,A06
Other amebic genitourinary infections,A06
Other amebic infections,A06
"Amebiasis, unspecified",A06
Balantidiasis,A07
Giardiasis [lambliasis],A07
Cryptosporidiosis,A07
Isosporiasis,A07
Cyclosporiasis,A07
Other specified protozoal intestinal diseases,A07
"Protozoal intestinal disease, unspecified",A07
Rotaviral enteritis,A08
Acute gastroenteropathy due to Norwalk agent,A08
Acute gastroenteropathy due to other small round viruses,A08
Adenoviral enteritis,A08
Calicivirus enteritis,A08
Astrovirus enteritis,A08
Other viral enteritis,A08
"Viral intestinal infection, unspecified",A08
