Názov;Názov liečiva;;;
ABASAGLAR 100 jednotiek/ml KwikPen injekčný roztok v naplnenom pere;Inzulín-glargin;;;
Abevmy 25 mg/ml koncentrát na infúzny roztok;Bevacizumab;;;
Abevmy 25 mg/ml koncentrát na infúzny roztok;Bevacizumab;;;
"Abilify Maintena 400 mg prášok a disperzné prostredie na injekčnú suspenziu s predĺženým
 uvoľňovaním";Aripiprazol;;;
"Abilify Maintena 400 mg prášok a disperzné prostredie na injekčnú suspenziu s predĺženým
 uvoľňovaním v naplnenej injekčnej striekačke";Aripiprazol;;;
Abilify Maintena 960 mg injekčná suspenzia s predĺženým uvoľňovaním v naplnenej injekčnej striekačke;Aripiprazol;;;
Abiraterón Krka 500 mg filmom obalené tablety;Abiraterón;;;
Abirateron Pharmagen;Abiraterón;;;
Abiraterón Sandoz 1000 mg filmom obalené tablety;Abiraterón;;;
Abiraterón Sandoz 500 mg filmom obalené tablety;Abiraterón;;;
Abiraterón STADA 500 mg filmom obalené tablety;Abiraterón;;;
Abiraterone Accord 500 mg filmom obalené tablety;Abiraterón;;;
Abiraterone G.L. Pharma 500 mg filmom obalené tablety;Abiraterón;;;
Abiraterone Glenmark 500 mg;Abiraterón;;;
Abiraterone Heaton 500 mg filmom obalené tablety;Abiraterón;;;
Abiraterone medac 500 mg filmom obalené tablety;Abiraterón;;;
Abiraterone Olainfarm 250 mg tablety;Abiraterón;;;
Abiraterone Olainfarm 500 mg filmom obalené tablety;Abiraterón;;;
Abiraterone Pharmevid 250 mg tablety;Abiraterón;;;
Abiraterone Vipharm 500 mg;Abiraterón;;;
Abiraterone Zentiva;Abiraterón;;;
Abisax 20 mg;Bilastín;;;
Abisax 20 mg;Bilastín;;;
Abraxane 5 mg/ml prášok na infúznu suspenziu;Paklitaxel;;;
Acamprosat Mylan 333 mg;Akamprosát;;;
ACARIZAX 12 SQ-HDM;Roztoče domáceho prachu;;;
ACARIZAX 12 SQ-HDM;Roztoče domáceho prachu;;;
ACC injekt;Acetylcysteín;;;
Accofil 48 MU/0,5 ml injekčný alebo infúzny roztok v naplnenej injekčnej striekačke;Filgrastim;;;
Aceclofenac Accord 100 mg filmom obalené tablety;Aceklofenak;;;
Aceclofenac Accord 100 mg filmom obalené tablety;Aceklofenak;;;
Acidum folicum Léčiva;Kyselina listová;;;
Acidum folicum Léčiva;Kyselina listová;;;
Aclasta 5 mg infúzny roztok;Kyselina zoledrónová;;;
Aclexa 100 mg tvrdé kapsuly;Celekoxib;;;
Aclexa 200 mg tvrdé kapsuly;Celekoxib;;;
Aclexa 200 mg tvrdé kapsuly;Celekoxib;;;
Acnatac 10 mg/g+0,25 mg/g gél;Klindamycín, kombinácie;;;
ACTAIR 100 IR sublingválne tablety;Roztoče domáceho prachu;;;
ACTAIR 100 IR sublingválne tablety, ACTAIR 300 IR sublingválne tablety;Roztoče domáceho prachu;;;
ACTAIR 300 IR sublingválne tablety;Roztoče domáceho prachu;;;
ACTAIR 300 IR sublingválne tablety;Roztoče domáceho prachu;;;
Actelsar HCT 80 mg/12,5 mg tablety;Telmisartan a diuretiká;;;
Actelsar HCT 80 mg/12,5 mg tablety;Telmisartan a diuretiká;;;
